               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11964,            0.055489,            0.068418,           0.0016103,            0.037037,           0.0098396,          0.00098396,             0.11378,            0.036881,            0.066769,              0.0874,              0.0014,              0.0014
                   1,             0.11506,            0.060884,            0.067066,            0.003643,            0.074074,            0.039765,            0.015518,             0.10142,            0.039124,            0.063317,            0.073326,           0.0023258,           0.0023258
                   2,             0.10585,            0.070209,            0.064065,            0.010365,             0.18519,            0.036615,           0.0072506,            0.093924,            0.040417,            0.060435,            0.058658,           0.0026576,           0.0026576
                   3,            0.098995,             0.07147,             0.06177,            0.019674,             0.24074,            0.078294,            0.015193,            0.087872,            0.040918,            0.057632,            0.043395,           0.0023954,           0.0023954
                   4,            0.096452,            0.076961,            0.060068,            0.020173,             0.25926,            0.074854,            0.020242,            0.085097,            0.040577,            0.055979,            0.027539,           0.0015392,           0.0015392
