               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12053,            0.055095,            0.068525,           0.0038102,            0.092593,            0.021762,           0.0060653,            0.091599,            0.042804,            0.055517,              0.0784,              0.0024,              0.0024
                   1,             0.11224,            0.063817,            0.066591,           0.0067957,             0.18254,            0.014276,           0.0028988,             0.08162,            0.045673,            0.053295,            0.054283,            0.003283,            0.003283
                   2,             0.10306,            0.071682,            0.064254,            0.013055,             0.35291,            0.020246,             0.00445,            0.073473,            0.047736,             0.05149,            0.028516,            0.002516,            0.002516
