               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12111,            0.042701,            0.067369,           0.0023014,              0.1963,           0.0034772,           0.0010538,            0.091663,            0.031359,            0.056428,              0.0784,              0.0024,              0.0024
                   1,             0.11554,            0.050684,            0.065505,           0.0034955,             0.12222,            0.012967,           0.0037363,            0.084672,            0.034611,            0.054448,             0.05493,           0.0039298,           0.0039298
                   2,             0.10637,             0.06092,            0.064522,           0.0058971,             0.48254,            0.038571,            0.012731,            0.077439,            0.037146,            0.052315,             0.03047,           0.0044696,           0.0044696
                   3,            0.099021,            0.064626,            0.061458,           0.0095279,             0.66984,            0.047507,            0.015376,            0.074322,            0.037412,            0.051147,           0.0050194,           0.0040194,           0.0040194
                   4,            0.095469,            0.068525,             0.06029,            0.010244,             0.73175,            0.059317,            0.015792,            0.072731,            0.037445,            0.050541,             0.00208,             0.00208,             0.00208
